V1,V2
X,9539251968
X,5815136256
X,9510990592
X,5829383680
X,9510104832
X,9563830272
X,9566505984
X,9506792192
X,9184438528
X,9527131648
X,9525077248
X,9518496512
X,9559292160
X,9507471104
X,5827090944
X,9503615232
X,9525668352
X,9512184832
X,9507922432
X,5823004672
X,9510638592
X,9564899584
X,9538766080
X,5801658368
X,9526198784
X,9532214272
X,9507246848
X,9509278720
X,9511265536
X,9570139648
X,5800465408
X,9502565120
X,5815742464
X,9504447488
X,5797972480
X,9517768704
X,5837057280
X,9511644160
X,9544865280
X,6686207232
X,9572002560
X,9562575104
X,5841312512
X,9576981760
X,9523677440
X,9502262272
X,9503574528
X,5797803520
X,9539595264
X,9511356672
X,9508032512
X,5841244160
X,9556330752
X,5825120256
X,9509528320
X,5814875904
X,9568720384
X,9525243648
X,5801019136
X,9558753792
X,9564789760
X,9547229952
X,9504828672
X,5832453376
X,5811335424
X,9636147712
X,9544367104
X,5814335488
X,9525810688
X,9506392064
X,9526467584
X,9523165440
X,9505831936
X,9507881472
X,9549591808
X,9563768832
X,9523146496
X,9525143040
X,9509268736
X,9562684160
X,5826292480
X,9513796352
X,5904461056
X,9585276672
X,9561611264
X,9562855680
X,9511704832
X,9549058048
X,6260932352
X,9511311616
X,9508199168
X,9532601600
X,5838914048
X,9576913152
X,9310074112
X,9504557056
X,7213088768
X,6997709568
X,9504595456
X,9513283840
X,5840241664
X,9568940032
X,9504626176
X,9509502464
X,5926771456
X,5832316672
X,5798249728
X,5808040960
X,9514431744
X,9523741184
X,9532821504
X,9526321152
X,9533332480
X,9557788416
X,5916758528
X,5828259584
X,9525552384
X,9520362496
X,9528295424
X,9548449280
X,9563365376
X,9503595520
X,9512256512
X,9568124160
X,9514871552
X,6246010624
X,9533454848
X,5800004352
X,6278673920
X,5815457536
X,8208598016
X,9506450176
X,9513361920
X,9564856320
X,9503443968
X,9525207040
X,5802812416
X,5799164928
X,9505003008
X,9547499264
X,9526354176
X,9562839552
X,9521409280
X,5801202688
X,9547056640
X,9509164032
X,9522735360
X,9508859136
X,5811331072
X,9538054400
X,9507769600
X,9503468032
X,9533494016
X,9506665728
X,9506078464
X,9548326400
X,9507700224
X,9532472832
X,9522479104
X,9539344640
X,5847739904
X,5799412224
X,5832980992
X,9538625024
X,9515494400
X,9512476160
X,9514290944
X,5815991296
X,9569146880
X,9511937024
X,9514914304
X,5837149952
X,5800804096
X,9505441024
X,9524496384
X,9508670464
X,9528253952
X,9505866240
X,9523622144
X,5823166976
X,5814268160
X,5800768256
X,9502526720
X,9532772608
X,5806825216
X,9532375296
X,9538774016
X,9538184448
X,9510510592
X,9504551168
X,5837881088
X,9513890560
X,9504958720
X,5931714304
X,9504421632
X,9563888640
X,9514294528
X,5812375552
X,5809453312
X,9524779008
X,9523628288
X,9507116032
X,5940065792
X,9525613824
X,5815697920
X,9504582400
X,5800303616
X,9539647744
X,5797071104
X,9506686720
X,9524953856
X,9585342720
X,9524977152
X,9514742272
X,5798811904
X,9508087808
X,9526049024
X,5829992704
X,9532010240
X,9526682368
X,9505299200
X,9503341312
X,9506747136
X,8053638400
X,9561178368
X,5796058368
X,9525497344
X,9522766080
X,5830697216
X,5799857920
X,9504821504
X,9565143552
X,9565250048
X,9526243584
X,5806098176
X,9539014400
X,5832462080
X,9561138432
X,5832536064
X,5798244096
X,9505278464
X,9514658048
X,9506871296
X,9515002368
X,5800369408
X,5809226496
X,9509906432
X,9510917632
X,5798348544
X,9577057792
X,9562407936
X,5800178944
X,5818354688
X,9525853952
X,9503203840
X,5835436800
X,9546399744
X,9503359488
X,9515089920
X,9508160768
X,9528962304
X,5817897728
X,9547203840
X,5828148736
X,9502765568
X,5828899328
X,9504349952
X,9505270016
X,5800038912
X,9509572608
X,9510887168
X,9558403840
X,5798222080
X,9504546560
X,9512223744
X,9549133568
X,9560897536
X,9502782208
X,8855818752
X,5796233472
X,9504735232
X,9547089408
X,9522088704
X,5814385920
X,9538680320
X,9516271360
X,9563326720
X,5821328128
X,5801034496
X,9502336512
X,9509753088
X,5800736768
X,9522467328
X,9508128256
X,9510845184
X,9525782016
X,9570072320
X,9565398016
X,9530724864
X,9526159872
X,5933632512
X,9504440832
X,5825478400
X,9526594304
X,5815271936
X,9567622912
X,9524013824
X,9504457984
X,9558511104
X,5796405504
X,5904071680
X,9525287424
X,9538626304
X,5800928000
X,9075022592
X,5936034560
X,9509527296
X,9561303296
X,5807738880
X,9532354304
X,9533514496
X,9515094272
X,9539223808
X,9523705600
X,9512034048
X,7196782592
X,5930427136
X,5837031680
X,5800370176
X,9525088256
X,9504374784
X,9504467712
X,9547120384
X,5936771840
X,9565630464
X,9540495104
X,9513310976
X,9508452352
X,5797399552
X,9524633344
X,9563379712
X,9562166016
X,5800391936
X,9532841728
X,5806936832
X,9505304832
X,9512791808
X,9508301056
X,9522324736
X,9509725184
X,9532632064
X,5799848448
X,9526229248
X,9509959168
X,5819382528
X,9510662912
X,9506374144
X,9527006720
X,9512184576
X,9509980160
X,5812800256
X,9586924032
X,9503780608
X,9504416000
X,9514121472
X,9535566336
X,9524192000
X,9514037504
X,9540473088
X,9504919808
X,5801604608
X,9506093824
X,9524472832
X,9569685248
X,9504070144
X,9509001216
X,9503916288
X,9523787776
X,5797174016
X,9561316352
X,5815950848
X,9537364992
X,9524806144
X,9505322240
X,9506298880
X,9578585600
X,5813929984
X,9504065792
X,9522663424
X,9511855872
X,9562340352
X,9549061376
X,9514479616
X,9526442240
X,9539254528
X,9544592384
X,9541743104
X,9533813760
X,5795736832
X,9525647616
X,9518415872
X,5822656768
X,9589091072
X,9503567104
X,9547041792
X,9525419264
X,9523008000
X,9505419264
X,9560121344
X,9549147136
X,9503133184
X,9509753344
X,9513724672
X,5800833792
X,9540114176
X,5799212544
X,9509965824
X,9524055808
X,9570640640
X,9514123264
X,9505707776
X,9538967552
X,5814133760
X,9511344640
X,9502505216
X,9526603264
X,9557107712
X,9540480512
X,5813934080
X,9514941184
X,9524071424
X,9516385024
X,9562158848
X,9507545600
X,5829828352
X,9503053568
X,9506731264
X,5801027328
X,9502581248
X,5814516480
X,5799952128
X,9503827712
X,5831101952
X,5817744384
X,9578591232
X,9559755776
X,9523805952
X,9516309760
X,5809617152
X,9506974208
X,9505977856
X,9504847616
X,9530989824
X,9508593408
X,5817208064
X,9508971264
X,9507375360
X,9511454464
X,6481565184
X,5812291072
X,9527961600
X,9505546240
X,9539177728
X,5799434496
X,9513799168
X,9508440576
X,5816254976
X,9506772480
X,9531729152
X,9505985024
X,9504932096
X,9578958592
X,5812654592
X,6454078720
X,9126525184
X,5828376832
X,9127430400
X,9549316096
X,5797740544
X,9508399616
X,9505749760
X,9508056576
X,9505374208
X,9527196160
X,5799267072
X,9504753408
X,9504999936
X,9591795712
X,9558223104
X,5837102848
X,9531894784
X,9525785344
X,9539327232
X,5829679360
X,5820535296
X,5796953344
X,9564320512
X,5799579136
X,9509077760
X,9512526336
X,5799772416
X,9539773184
X,5798729472
X,5808807424
X,9547275008
X,9546000640
X,9509649408
X,9548177408
X,9538689536
X,9539792128
X,9561666560
X,5802000384
X,9593984768
X,9508505856
X,9524906752
X,9502931712
X,5811095552
X,9513828096
X,5824148480
X,5813267968
X,5833190400
X,5944665856
X,5805461760
X,5795755008
X,9526379008
X,9565809408
X,9508452608
X,9567178240
X,5907580672
X,9503848960
X,9586780160
X,5824009984
X,9516136704
X,9523884288
X,9506514688
X,5798405376
X,9508235776
X,9530181888
X,9502649088
X,9508084224
X,5806187776
X,9514174976
X,7417833216
X,9562692608
X,9536555776
X,9516287232
X,5879683840
X,9547878400
X,9522821376
X,9538882560
X,9508204032
X,9526596352
X,9507127552
X,5900746752
X,9527453696
X,5815809536
X,9539156736
X,9504350720
X,9512419840
X,5796560896
X,9505175296
X,5825183232
X,5829758464
X,9504852736
X,9512479488
X,9515169792
X,9509166848
X,5825432576
X,5810586112
X,5798216448
X,5798238464
X,5818067712
X,9506008576
X,9524625920
X,9506100224
X,9625104128
X,9509058816
X,9525885440
X,5800918784
X,5797538048
X,9565250560
X,5823705344
X,9513136896
X,9505113344
X,9538611456
X,5796436736
X,9503105792
X,9531935744
X,9563100160
X,9545610240
X,5798188032
X,9585260032
X,9548066816
X,9502301696
X,9508475136
X,9526377984
X,5832776448
X,9562504960
X,9567698176
X,9503643136
X,5812771840
X,9533260800
X,5815704064
X,9509415680
X,9503384832
X,5832222464
X,9515067392
X,9532910080
X,5826761728
X,9505830912
X,9533301248
X,9566656000
X,9526284544
X,9502684160
X,9507486720
X,9547174400
X,5926884608
X,5824757760
X,8398380800
X,9526273536
X,5836213248
X,5803493376
X,9509661440
X,5799627776
X,5826528000
X,9502643968
X,5797392896
X,9543844864
X,9506699776
X,9520131840
X,9503080448
X,9523843840
X,9506129152
X,9509854976
X,5799378944
X,9538379776
X,5906348288
X,9502848512
X,9510871808
X,9538781184
X,9402596096
X,9510222336
X,5834486016
X,9561525248
X,9526392320
X,9521616384
X,5825140992
X,9564147712
X,9505357824
X,9551349504
X,9523939328
X,9532568832
X,5825820928
X,9526509056
X,5800400384
X,5815956224
X,9505947392
X,9561632000
X,9533012736
X,9526499584
X,9541168896
X,5813745664
X,9509713920
X,5800164352
X,9533277440
X,9540000512
X,9574612480
X,5827269632
X,9507110912
X,5798612736
X,9539608320
X,9510631168
X,5820655616
X,5927715328
X,5799380736
X,9505531136
X,5809167616
X,9505771776
X,9508594688
X,5827980544
X,9505167104
X,9516844032
X,9509270784
X,9547111680
X,5817127168
X,5797784576
X,5806791168
X,9540864256
X,9507789824
X,9511112960
X,9506231552
X,9539598592
X,9503450880
X,9511859968
X,9569466112
X,9511113728
X,9526367232
X,9521600768
X,9538354944
X,5811560448
X,9518428160
X,9524180480
X,9532718592
X,9505054976
X,9579524352
X,9524003072
X,9506685184
X,5800364032
X,9509999616
X,9502090496
X,9524098048
X,9524695808
X,9538630912
X,5930987776
X,9547270912
X,8535340032
X,9504732160
X,5820903680
X,5817255680
X,5825547008
X,9526124544
X,9587886592
X,9514789888
X,9565153280
X,9527964416
X,9502745088
X,5808041472
X,9521818368
X,5809076736
X,9502760192
X,9563007232
X,9511569920
X,9539074048
X,5801514752
X,9545221376
X,5798492160
X,9505355520
X,9565351424
X,5802469632
X,5833413120
X,9504067072
X,9524372992
X,9527954944
X,9562579200
X,5827731200
X,9199687936
X,9510749440
X,9561034240
X,5823870464
X,5800670976
X,9504670720
X,9523852800
X,9537868288
X,9550459904
X,9512506624
X,5797662720
X,9526905088
X,5934848256
X,9510161408
X,9524681984
X,9503445504
X,6610671616
X,5901093632
X,9506587904
X,9557311488
X,9502647808
X,9512310528
X,9524774912
X,9521585664
X,9560868352
X,9538914816
X,7716566784
X,9532316928
X,9511786496
X,9502624000
X,9504335104
X,9525678848
X,9510615040
X,5830377728
X,9526271232
X,9524450816
X,9561733376
X,9515918080
X,9524915712
X,9523843328
X,7512257280
X,9508762624
X,9533106432
X,9562554624
X,9561501440
X,9523071744
X,5815013888
X,9526439680
X,9562882304
X,9540066304
X,9521903360
X,9507543552
X,9525769472
X,9523026944
X,9508569344
X,9554051072
X,9549266688
