V1,V2
X,180907008
X,173714688
X,174705408
X,182017024
X,319562752
X,354175488
X,362893056
X,361830144
X,372293888
X,207775232
X,337964800
X,372275968
X,363081472
X,336185600
X,372309760
X,367958272
X,441246976
X,333735168
X,349538560
X,462244608
X,268856320
X,454203392
X,387324672
X,464366336
X,228262656
X,426763776
X,344330496
X,234468608
X,282757888
X,437797120
X,326265344
X,424709376
X,372811776
X,457028352
X,363168256
X,344379904
X,363343616
X,378868736
X,492952576
X,283582208
X,357940736
X,283676672
X,283580160
X,425162752
X,487081472
X,430625792
X,563299328
X,445769984
X,372754688
X,461491712
X,522760448
X,493573120
X,534685184
X,359054080
X,590931456
X,588924416
X,378498048
X,474487296
X,445388288
X,544390656
X,425999872
X,571416832
X,410505984
X,562520320
X,505330688
X,529440256
X,501984768
X,610391040
X,532249088
X,459587584
X,584852992
X,517764608
X,457357568
X,214714368
X,510233600
X,529507840
X,340759808
X,452494592
X,377454592
X,500820480
X,336219648
X,460603648
X,232687872
X,495523840
X,602512384
X,497656320
X,452678656
X,490203392
X,547664640
X,498398720
X,339961600
X,338150912
X,511038976
X,215836160
X,467247616
X,555387136
X,499643904
X,494867712
X,451826944
X,373338112
X,430435840
X,614790144
X,378565632
X,420001024
X,485456640
X,460439808
X,268777728
X,475234048
X,504259072
X,450689280
X,280437248
X,560795392
X,396050944
X,583699712
X,669282816
X,691506432
X,455425024
X,423675648
X,493968384
X,376679424
X,391402496
X,505548032
X,498519808
X,358859008
X,536472320
X,614488320
X,796854784
X,511339776
X,311873024
X,638437632
X,359475968
X,555498496
X,429427456
X,729868288
X,425969664
X,491827968
X,695206400
X,469733888
X,345747200
X,582681856
X,465230336
X,560508160
X,552736512
X,508318464
X,626051328
X,346032640
X,512798208
X,388897024
X,340638976
X,576706304
X,690698240
X,430186752
X,542191872
X,509847040
X,568904960
X,506547712
X,515244800
X,492164608
X,321255168
X,556604416
X,477104128
X,319472384
X,586510848
X,417087488
X,506362112
X,707310592
X,359429632
X,574884864
X,625896192
X,369807360
X,663187456
X,548807168
X,293780480
X,430630656
X,618736128
X,499244032
X,675980288
X,342828288
X,412845056
X,454403840
X,499929856
X,325991936
X,529722368
X,524044544
X,607872768
X,497604096
X,220857088
X,543966976
X,599052544
X,512732416
X,567474688
X,620571904
X,539052288
X,568240384
X,596155648
X,454691328
X,282452224
X,385442304
X,472519936
X,566587904
X,586739456
X,567587840
X,603834368
X,546514944
X,543067136
X,409940224
X,472461312
X,286571264
X,584234496
X,693636864
X,625355776
X,431977472
X,517826816
X,287392768
X,493745920
X,666013696
X,621251584
X,469335808
X,408549888
X,538757120
X,453456640
X,766419712
X,417783040
X,674641152
X,739645952
X,406447104
X,661767424
X,713498880
X,430346496
X,663075584
X,364884992
X,578813696
X,496614912
X,737289472
X,598329856
X,536319488
X,452431872
X,545641216
X,775605248
X,586517504
X,666955520
X,500890624
X,504352768
X,704743168
X,632225280
X,377440000
X,405225472
X,628229888
X,295136768
X,667584000
X,702819584
X,705413120
X,382457600
X,705829120
X,509323008
X,785524992
X,455927552
X,560176896
X,725267968
X,470040576
X,550082048
X,750492160
X,366380288
X,505505792
X,681440512
X,740728576
X,633127424
X,709438976
X,607877120
X,591125248
X,617801216
X,629305856
X,489860608
X,353378304
X,507794944
X,587032832
X,345616896
X,686668032
X,541408000
X,480536064
X,586696704
X,743944192
X,618058240
X,767445504
X,677454080
X,611265792
X,634338816
X,604862720
X,764228864
X,622599168
X,620963328
X,652859392
X,559969024
X,659509248
X,439380480
X,514019584
X,609943040
X,789885184
X,573168128
X,388249088
X,598578688
X,509517568
X,579194112
X,670231552
X,546610432
X,627143168
X,537081856
X,622411008
X,478753280
X,580231680
X,494943232
X,583736832
X,598506752
X,805244416
X,566982144
X,461490176
X,599631104
X,511462656
X,416329216
X,631201792
X,414327552
X,346203136
X,814177024
X,619079936
X,676347392
X,553305344
X,655544576
X,469776896
X,689523712
X,419775232
X,701698048
X,848534272
X,629954560
X,383539456
X,561683712
X,472155648
X,628832000
X,871915776
X,706524160
X,673930240
X,558429184
X,537770496
X,661625600
X,716064768
X,472693504
X,667416832
X,584880128
X,590634496
X,697074432
X,666075392
X,643819264
X,611034624
X,746938624
X,605126656
X,508994304
X,393481728
X,291609344
X,334874368
X,618099712
X,426296832
X,632203776
X,468583424
X,554913024
X,710442240
X,542280960
X,575264768
X,779504128
X,381596928
X,581049600
X,409545216
X,639164416
X,541958912
X,574623232
X,735879424
X,710788608
X,560801024
X,343290880
X,407613696
X,705462016
X,311920384
X,417071104
X,632669696
X,638595584
X,654550784
X,578497792
X,661615872
X,591161088
X,285505536
X,829550848
X,675117568
X,626598656
X,709737472
X,540095232
X,822732288
X,465623040
X,513355776
X,575499264
X,404919552
X,391791360
X,321750784
X,474478080
X,671530240
X,547702272
X,669021696
X,591697920
X,814146304
X,664459264
X,538495232
X,465814528
X,564094976
X,615037184
X,384150272
X,441815808
X,656615168
X,545871872
X,359532032
X,570480640
X,435115264
X,707023360
X,571719424
X,349411840
X,386855168
X,626672128
X,472876800
X,626364160
X,462052864
X,729032192
X,594630144
X,673664000
X,579446272
X,590167808
X,498884608
X,651419136
X,505971456
X,439204096
X,681638912
X,521729792
X,436760320
X,425117440
X,357742336
X,393920256
X,748489984
X,411803904
X,618864384
X,605384704
X,736817408
X,592070656
X,421053184
X,673443328
X,669892608
X,653822720
X,369131520
X,611033344
X,562578432
X,525490176
X,631489792
X,395013888
X,619521536
X,394345216
X,620139264
X,506344448
X,643529984
X,671862272
X,463308800
X,668538880
X,455462912
X,463898880
X,510068992
X,713339392
X,654597632
X,369846016
X,463965184
X,715002368
X,742625024
X,456166912
X,417675520
X,704186368
X,495629056
X,743429120
X,699708672
X,540333824
X,538380800
X,611711488
X,357759232
X,686351872
X,586720768
X,610739456
X,583205632
X,556049152
X,502531584
X,895356672
X,473189120
X,768664320
X,865697536
X,650969344
X,611720192
X,749345280
X,659937280
X,732185600
X,759175680
X,652159232
X,603883520
X,572693504
X,388692736
X,611119360
X,387669760
X,685394432
X,593415168
X,938154240
X,541754880
X,530155264
X,738398976
X,652715008
X,509206784
X,508861440
X,631390464
X,667038720
X,714231040
X,555047424
X,540831744
X,799998208
X,763721472
X,668959488
X,651096320
X,448802048
X,630396928
X,737344256
X,501852928
X,535454464
X,584001280
X,638791424
X,504708864
X,750797056
X,673081344
X,490939904
X,628241920
X,625169664
X,969518592
X,430873088
X,321241856
X,517538560
X,818180864
X,737647872
X,657774848
X,827968768
X,544996352
X,475365120
X,642793216
X,740937216
X,859731456
X,653019392
X,576682752
X,408419328
X,501487360
