V1,V2
X,112373504
X,173708288
X,112273408
X,114576128
X,182101760
X,323667968
X,198518528
X,367942656
X,367849472
X,338198016
X,266545152
X,339971840
X,460665088
X,237360128
X,202125824
X,361890816
X,373021184
X,228204544
X,391299840
X,449146880
X,263412736
X,346326528
X,218768128
X,373172736
X,223620352
X,254240768
X,280294144
X,347339008
X,202309888
X,429784832
X,261708800
X,239532288
X,329538816
X,338311680
X,259670528
X,433550848
X,360189696
X,387208704
X,389527808
X,281147392
X,215866880
X,213134336
X,458202624
X,212933120
X,581127168
X,496061952
X,347920384
X,327942400
X,334909952
X,204022528
X,374834944
X,416204800
X,459678720
X,402308352
X,459536640
X,371267328
X,338533632
X,489640704
X,534449664
X,450770176
X,346245376
X,457383680
X,349672960
X,430529792
X,475652864
X,243465216
X,203899904
X,528674304
X,656464128
X,347398400
X,531879680
X,235456256
X,499660800
X,606836736
X,371459328
X,282228224
X,596640000
X,489317376
X,490156800
X,279812608
X,301912064
X,326361344
X,435210240
X,332856320
X,509939200
X,427184384
X,337067776
X,315399168
X,452416000
X,282871296
X,449456128
X,352149760
X,497598720
X,347073536
X,390423808
X,286990336
X,558996992
X,221952512
X,390698496
X,336685824
X,538904576
X,604773376
X,263473152
X,632485632
X,414868480
X,665249024
X,558565376
X,546337792
X,508365824
X,501508352
X,536387584
X,475788800
X,619767040
X,482786816
X,562211328
X,583572736
X,653407744
X,361456128
X,544777728
X,566747648
X,614562048
X,330282240
X,546895616
X,549317376
X,634351104
X,526691072
X,241758720
X,601973504
X,293486848
X,501026816
X,366843904
X,242347776
X,265221376
X,606309120
X,368792832
X,464419840
X,427265536
X,419105024
X,381437184
X,558450176
X,367087872
X,319671808
X,619421184
X,545509632
X,520523264
X,540336128
X,358842112
X,512617984
X,354170112
X,560712704
X,537902848
X,414713344
X,280323328
X,577100032
X,573418752
X,503453952
X,435598592
X,334334464
X,477866240
X,424382464
X,359723008
X,453845760
X,317855744
X,345169920
X,580703232
X,457594624
X,577768960
X,498928128
X,547870720
X,405257728
X,404508416
X,234996480
X,287876608
X,676190464
X,343389696
X,393196288
X,438891264
X,327042560
X,316277504
X,500604160
X,707977472
X,655055616
X,478521088
X,348679936
X,549434880
X,610569216
X,367479808
X,206589696
X,701319680
X,621562624
X,495329792
X,412491008
X,544906240
X,340285184
X,334960384
X,323644416
X,385882368
X,513776384
X,621218304
X,519236608
X,533751808
X,551877120
X,486676992
X,431815936
X,315291136
X,338766336
X,222785280
X,469445120
X,620658688
X,317012480
X,708906496
X,332773888
X,549604608
X,387077888
X,504017664
X,330340864
X,852395264
X,415175424
X,656231424
X,351160320
X,570197760
X,535709696
X,384736000
X,571481600
X,740961536
X,553371904
X,407491072
X,484713472
X,507538944
X,274811136
X,407223808
X,540772864
X,730556160
X,579045888
X,551291136
X,386657280
X,774618368
X,427100160
X,319588352
X,283409920
X,343322880
X,264203008
X,603173376
X,614660096
X,668141312
X,715458304
X,357270784
X,431081984
X,704035584
X,436243968
X,488727808
X,421719296
X,360235264
X,316736256
X,661646080
X,588898048
X,662036480
X,703858176
X,510319872
X,437463808
X,507851008
X,412743936
X,624263168
X,393421312
X,376703744
X,405905664
X,396354048
X,436853760
X,381346816
X,599911936
X,394610944
X,578125056
X,268659456
X,445089280
X,446892544
X,652055552
X,699195392
X,464000256
X,620798464
X,363380736
X,382249472
X,411006720
X,844319232
X,364900096
X,527997184
X,531484672
X,216380160
X,486439424
X,553843968
X,381529856
X,641378304
X,475804672
X,277997824
X,407132160
X,372665856
X,548047872
X,436182528
X,381411584
X,506353152
X,419045632
X,650578944
X,440987904
X,336076032
X,582948096
X,338210304
X,530734848
X,736662016
X,557016832
X,480869120
X,334787584
X,554507264
X,411351808
X,306329856
X,538577152
X,438842368
X,792601088
X,502212864
X,354891520
X,388428288
X,499604736
X,645506048
X,587325952
X,583709440
X,613768448
X,383744000
X,519395072
X,627687168
X,357947136
X,511435008
X,539714560
X,402621696
X,429081088
X,463651072
X,316531712
X,375106304
X,393704192
X,588246784
X,320474880
X,375093248
X,528111872
X,736866048
X,507041536
X,520125696
X,497472512
X,642250496
X,426078720
X,668270592
X,353718784
X,292261120
X,481355776
X,366670848
X,626489088
X,594321152
X,670085120
X,414384640
X,296379136
X,652897280
X,446970624
X,581956096
X,597146112
X,478196736
X,417131008
X,469404928
X,558544896
X,392370944
X,576429568
X,460091392
X,566957312
X,484229120
X,580350464
X,768003584
X,623150080
X,401754624
X,721736960
X,474892544
X,317459200
X,316421376
X,413711360
X,258651136
X,584105216
X,578633216
X,698661632
X,838728704
X,546467584
X,625973504
X,383101952
X,376197888
X,454140672
X,632151296
X,398023168
X,555733760
X,342710528
X,540547584
X,667686400
X,575926272
X,742625536
X,387124736
X,555257088
X,395107328
X,715710976
X,696969728
X,834640896
X,801899264
X,419036416
X,582870784
X,377372928
X,804211456
X,640811776
X,368172544
X,578904832
X,538473728
X,355787776
X,480720896
X,735168000
X,461347840
X,780673280
X,568265472
X,676372224
X,548205568
X,292455168
X,319740928
X,508839168
X,619044864
X,596491264
X,708400896
X,290279168
X,472005120
X,662821632
X,497256960
X,458230016
X,594078976
X,665626368
X,587960576
X,500941312
X,523043328
X,350213632
X,619504640
X,348392704
X,593806592
X,617908736
X,383658240
X,393374976
X,483869184
X,411671808
X,393777152
X,341461504
X,449776128
X,509866496
X,858915840
X,666873856
X,692278784
X,477029376
X,736341248
X,378565376
X,477944576
X,640612096
X,574666240
X,538984704
X,592079616
X,431851520
X,718785536
X,487798272
X,432919552
X,596126464
X,706155776
X,884564992
X,563977728
X,478574848
X,700091648
X,388966912
X,434850304
X,642837760
X,622739712
X,356621312
X,522798336
X,453015296
X,530033152
X,473134080
X,500545792
X,417743104
X,530318336
X,628524032
X,414733824
X,617250816
X,377454080
X,557526016
X,454049024
X,705747712
X,729512192
X,512313856
X,336960000
X,554978048
X,768835328
X,586360832
X,787426560
X,703887616
X,633737728
X,487412992
X,785253120
X,547781376
X,467408384
X,358488320
X,416274688
X,701386496
X,438224896
X,342680320
X,418039552
X,646803968
X,621143552
X,747847168
X,491602176
X,373378560
X,497526528
X,340241152
X,727426816
X,361485312
X,598298112
X,739025408
X,549144832
X,718363648
X,664961280
X,368428288
X,708526080
X,510849792
X,451155968
X,468770816
X,550868224
X,429720576
X,597904640
X,549062656
X,563008000
X,385907968
X,361237248
X,419698432
X,555717888
X,722094848
X,711878144
X,545335808
X,596490752
X,339976960
X,771822080
X,521911040
X,415270400
X,631355648
X,574915840
X,349031168
X,857607424
X,654040832
X,417636096
X,391053824
X,407792640
X,597293568
X,738937856
X,433696512
X,403642624
X,521157376
X,424797440
X,694649344
X,815539456
X,473896192
X,592410112
X,371286784
X,442116608
X,428359168
X,639588608
X,717707520
X,747030016
X,377484544
X,457288192
X,610622976
X,662848768
X,484499456
X,373374208
X,314178816
X,369947648
X,661145856
X,282492160
X,553357056
X,646770688
X,578851584
X,425223424
X,700642560
X,540371200
X,806828288
X,621828864
X,386567936
X,578123264
X,562226944
X,333089536
X,778987008
X,817542912
X,550532096
X,502149632
X,647254272
X,825241344
X,441645824
X,668957952
X,696571648
X,848880896
X,636892672
X,778422784
X,448376576
X,745853952
X,880410112
X,459747840
X,418099968
X,433534208
X,556369152
X,466520576
X,396763648
X,433192448
X,462317824
X,691858176
X,337058048
X,635547392
X,598559744
X,510073088
X,674479104
X,622979328
X,282776320
X,357995776
X,541037056
X,704503808
X,437166080
X,413547264
X,271964672
X,783675392
X,656376064
X,556289024
X,385529088
X,456845568
X,665200896
X,271821312
X,587447552
