V1,V2
X,252472576
X,183119872
X,180841216
X,173783040
X,255489280
X,370390016
X,372502784
X,338333440
X,376353280
X,362218496
X,189346304
X,198009088
X,499678976
X,373820928
X,303574272
X,266999808
X,335698432
X,387362560
X,460413440
X,282428672
X,274200064
X,207880960
X,263206144
X,240078336
X,208111616
X,220151552
X,242267904
X,382553344
X,333677568
X,372176128
X,336051968
X,223836416
X,260038656
X,457831424
X,214386432
X,481929728
X,307984640
X,234395392
X,456339456
X,487564288
X,399521536
X,386516736
X,576930816
X,387611648
X,372718848
X,394158592
X,462028800
X,618786048
X,659502848
X,359851264
X,273132544
X,230328576
X,345329664
X,575628800
X,491494656
X,288348672
X,206679808
X,506894592
X,390091008
X,388014080
X,344137728
X,346049792
X,423844352
X,301932288
X,408413440
X,310895616
X,355604736
X,287551744
X,473004544
X,346083584
X,492112896
X,647280896
X,325856000
X,468454912
X,451442944
X,441459456
X,496964352
X,504443904
X,497670912
X,212948224
X,336117760
X,495195904
X,584020992
X,344123648
X,532450048
X,480082432
X,434205696
X,347063040
X,622319104
X,372439808
X,584711936
X,299747072
X,482403584
X,261655296
X,424302080
X,286891776
X,405981952
X,336717568
X,610032896
X,503888640
X,590767872
X,532975104
X,463283968
X,494408704
X,349488640
X,395937024
X,317271040
X,299894784
X,396067840
X,453853440
X,710139904
X,431527424
X,431657728
X,455648512
X,627709184
X,630547200
X,499995904
X,618604800
X,479160320
X,358294528
X,488799232
X,622251776
X,575820800
X,474409216
X,493878016
X,390367744
X,583452928
X,519593472
X,308047616
X,538432256
X,383918080
X,303068160
X,484151808
X,349178880
X,309439488
X,653337344
X,582698240
X,626632960
X,215389952
X,530718464
X,355913984
X,697683968
X,629950464
X,524113152
X,297870336
X,361198336
X,211291648
X,315193088
X,630385408
X,499193600
X,312980992
X,665892864
X,745338880
X,554280960
X,617074688
X,535511296
X,354941696
X,527952384
X,539392768
X,686074624
X,333682944
X,426196480
X,550736640
X,533583872
X,259111936
X,581615616
X,359079680
X,557353984
X,660175872
X,260249344
X,473465600
X,388242944
X,421911552
X,313758976
X,494519808
X,511351296
X,313236736
X,349058560
X,549551616
X,304616448
X,459001088
X,241784064
X,591368192
X,570500352
X,579613440
X,413055744
X,410671872
X,424988160
X,725461248
X,369688576
X,534125568
X,269062400
X,480857856
X,587824640
X,628824320
X,575656704
X,429455616
X,730810880
X,504609792
X,740635136
X,319297792
X,528850176
X,372296960
X,274824448
X,236580096
X,593118720
X,376401664
X,419757568
X,688869376
X,472331776
X,591025152
X,475344896
X,340603136
X,573340672
X,326348032
X,405847552
X,582891776
X,963853312
X,553724672
X,548130304
X,541074432
X,234614016
X,632807168
X,571256832
X,362305792
X,582667008
X,385190144
X,635350528
X,324577536
X,413984768
X,547666176
X,490616320
X,413839104
X,628658176
X,357326848
X,333745920
X,375881216
X,379132160
X,659057920
X,347554048
X,500368128
X,662191104
X,411948800
X,477301760
X,480455424
X,361965312
X,440633856
X,516339200
X,434853632
X,454776320
X,546021376
X,582434304
X,390703360
X,527435520
X,517606144
X,774240000
X,485177856
X,658339584
X,391148032
X,674826752
X,357140224
X,566723072
X,545496576
X,478330368
X,385066752
X,634420992
X,532571648
X,323514112
X,536038144
X,512971776
X,218048768
X,312811520
X,509576448
X,392254720
X,434459648
X,406786048
X,736715776
X,803027712
X,336405760
X,549567744
X,530680064
X,369118208
X,624239872
X,737936384
X,702386944
X,593764096
X,727747328
X,562824192
X,652415744
X,385859328
X,577139968
X,301849088
X,536850176
X,225623552
X,582237440
X,712834048
X,459194880
X,342845696
X,380174336
X,541883648
X,284466176
X,439181056
X,500811776
X,621809920
X,341155072
X,616938240
X,705072896
X,326188288
X,584879616
X,897827840
X,652436480
X,459445248
X,467431168
X,333054720
X,608144640
X,711785216
X,554569728
X,618684160
X,626664704
X,810331904
X,673858560
X,592688896
X,527030784
X,262608896
X,867008000
X,660541440
X,482623232
X,382783744
X,334276608
X,255353344
X,745413632
X,339549952
X,362328832
X,661871104
X,345105152
X,344822272
X,631783168
X,737801472
X,808098304
X,542145280
X,393926144
X,509859584
X,367424000
X,461779968
X,549432320
X,568639744
X,679405312
X,507036416
X,698301696
X,687638528
X,541032192
X,469296896
X,347880448
X,628710144
X,620772096
X,331412992
X,344016384
X,818597120
X,385328128
X,419524864
X,223183360
X,435402240
X,549332480
X,641082112
X,636761088
X,739636480
X,635064576
X,641152000
X,575661568
X,358812672
X,407916544
X,467456768
X,613666816
X,295039232
X,860468480
X,620647424
X,617318912
X,265681920
X,591545088
X,641125632
X,575683840
X,474212608
X,340192768
X,461732864
X,510361856
X,598756096
X,716961024
X,387381760
X,709652224
X,305098752
X,668968192
X,486570240
X,459516928
X,380787200
X,732979712
X,619806464
X,678088960
X,437516544
X,496468736
X,391814144
X,626705408
X,747052544
X,543213568
X,605728512
X,415469312
X,547399680
X,641836032
X,440977408
X,622769920
X,748535040
X,612721152
X,445702656
X,361550848
X,492950272
X,361261568
X,511964416
X,577948160
X,600704000
X,583141632
X,674646272
X,294166272
X,345368064
X,754473728
X,590117376
X,370332416
X,515804160
X,709619200
X,330092800
X,614441472
X,462546688
X,892460544
X,658526464
X,578561024
X,339742720
X,788998400
X,733059328
X,413262592
X,677449728
X,390860800
X,441032448
X,621788160
X,491487744
X,496385024
X,544287488
X,451549184
X,567241472
X,278885888
X,645722624
X,535709440
X,621742592
X,497229824
X,432286976
X,745125632
X,517899264
X,339344384
X,393795072
X,664380160
X,433965312
X,286249472
X,437840640
X,631682048
X,393151232
X,576657152
X,442107904
X,671254272
X,738346240
X,378712576
X,536571392
X,432065280
X,318613504
X,662964736
X,512401408
X,744361216
X,590531840
X,444634880
X,1126567936
X,615682304
X,339026944
X,531273728
X,587282176
X,729664256
X,446145024
X,589981184
X,518049024
X,349989888
X,384628736
X,310582784
