V1,V2
X,175864064
X,176442880
X,176117504
X,180910080
X,176194560
X,175579392
X,108748288
X,181169664
X,318831104
X,355330560
X,370686208
X,361397504
X,363736576
X,319141632
X,203642368
X,377230080
X,335287040
X,362432256
X,373031936
X,231421184
X,371260672
X,372097536
X,377894400
X,362593280
X,361065984
X,362971392
X,341447936
X,334963456
X,356011264
X,220305408
X,461315328
X,333808640
X,242418944
X,330003456
X,368930816
X,417660672
X,202419968
X,459647488
X,214830592
X,344580864
X,347019264
X,291771136
X,452817664
X,338783232
X,334326784
X,378215680
X,344538624
X,452312064
X,289644032
X,392500992
X,357991936
X,461210368
X,459277824
X,305890048
X,344121600
X,495952896
X,425041664
X,413383680
X,400512000
X,419079424
X,388988672
X,427242752
X,341291264
X,573781248
X,486696704
X,467400448
X,437336576
X,388671744
X,281798912
X,240601088
X,286961408
X,291075072
X,510446336
X,674237696
X,534209280
X,545979392
X,397984512
X,505997312
X,560969984
X,597591040
X,572534016
X,523874560
X,536385792
X,434500864
X,348805120
X,504660736
X,534331648
X,390883584
X,464256256
X,535839232
X,646360320
X,455936000
X,369377024
X,408616960
X,528056320
X,241767680
X,628449024
X,494591232
X,459011328
X,502596608
X,437063680
X,533111040
X,259068416
X,296090624
X,548518144
X,501911040
X,294772992
X,530123264
X,520698112
X,511010048
X,669330432
X,532570624
X,422827264
X,428811264
X,277522432
X,580598784
X,491491840
X,371087360
X,541707264
X,511391744
X,382024448
X,624081920
X,344529408
X,466291456
X,624660992
X,440798464
X,701207296
X,575875328
X,496069888
X,506016768
X,536451584
X,739827968
X,482609152
X,340625408
X,486473216
X,468791296
X,424574464
X,499692800
X,331384576
X,460523008
X,709215744
X,388599296
X,465754880
X,704417024
X,533537280
X,238635264
X,699090944
X,519078912
X,541703680
X,542947584
X,683965184
X,326332416
X,583270656
X,694621952
X,454644224
X,494497280
X,570820096
X,620723456
X,495586560
X,511108608
X,505377792
X,302715648
X,463251200
X,530819328
X,334723072
X,603308544
X,376325632
X,528291840
X,396386304
X,597372416
X,491379712
X,584567296
X,685725184
X,547542784
X,608538368
X,549061888
X,627642112
X,494009344
X,559979520
X,385683200
X,628413696
X,726957568
X,390344448
X,493529344
X,578711296
X,529956864
X,541499392
X,544120064
X,294842880
X,463921920
X,625782528
X,712085504
X,649353984
X,582265600
X,694720000
X,578222336
X,619907584
X,639244544
X,642409728
X,614733056
X,457117184
X,580493312
X,613417984
X,493484032
X,320061184
X,478552064
X,571849728
X,589474304
X,529035520
X,363461376
X,548506880
X,534470144
X,743745280
X,592187392
X,589827072
X,388084480
X,622979584
X,709828608
X,541503744
X,561044480
X,426587904
X,570004992
X,581240576
X,496784640
X,623171072
X,411716352
X,418993152
X,487801344
X,511333376
X,378621184
X,536132352
X,738398208
X,488039168
X,583683840
X,499756288
X,389526528
X,546128896
X,506673664
X,646207232
X,678999040
X,211992832
X,523646976
X,543158272
X,463949568
X,558993664
X,578697984
X,568564224
X,505187840
X,675899392
X,570314496
X,525334784
X,503621120
X,820959744
X,589144320
X,536839168
X,464767488
X,460225280
X,458752000
X,427258880
X,434276864
X,515063552
X,444798208
X,546518528
X,354350336
X,422928384
X,441724672
X,703959040
X,691560192
X,554586112
X,627838720
X,821149696
X,480651776
X,415729664
X,429016576
X,415382272
X,548744448
X,616922368
X,558141952
X,700781568
X,734449152
X,416815616
X,618495232
X,695237888
X,584683520
X,387085824
X,468701952
X,431426304
X,362239232
X,420434176
X,322452480
X,360973824
X,589166592
X,736538112
X,631140864
X,546908672
X,742403072
X,473571328
X,464547072
X,707553536
X,559990272
